expression,reading,meaning,tags
振り仮名,ふりがな,pronunciation key,n2
振り向く,ふりむく," turn one's face,  turn around",n2
古～,ふる,old ,n2
故郷,ふるさと,"home town, birthplace",n2
古里,ふるさと,"home town, birthplace",n2
振舞う,ふるまう," behave,  conduct",n2
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",n2
噴火,ふんか,eruption,n2
分解,ぶんかい,"analysis, disassembly",n2
文芸,ぶんげい,"literature, art and literature",n2
文献,ぶんけん,"literature, books reference",n2
噴水,ふんすい,water fountain,n2
分数,ぶんすう,fraction in math,n2
文体,ぶんたい,literary style,n2
分布,ぶんぷ,distribution,n2
文房具,ぶんぼうぐ,stationery,n2
文脈,ぶんみゃく,context,n2
分量,ぶんりょう,"amount, quantity",n2
分類,ぶんるい,classification,n2
閉会,へいかい,closure,n2
平気,へいき,"coolness, calmness, unconcern",n2
並行,へいこう,"going side by side, concurrent, at the same time",n2
平日,へいじつ,weekday,n2
兵隊,へいたい,soldier,n2
平凡,へいぼん,"common, ordinary",n2
平野,へいや,"plain, open field",n2
凹む,へこむ," be dented,  be indented",n2
隔てる,へだてる, be shut out,n2
別荘,べっそう,villa vacation home summer cottage,n2
別々,べつべつ,"separately, individually",n2
編集,へんしゅう,"editing, compilation, editorial , committee",n2
便所,べんじょ,"toilet, lavatory",n2
防～,ぼう, prevention,n2
望遠鏡,ぼうえんきょう,telescope,n2
方角,ほうがく,"direction, way",n2
箒,ほうき,broom,n2
方言,ほうげん,dialect,n2
坊さん,ぼうさん,"buddhist priest, monk",n2
防止,ぼうし,"prevention, check",n2
方針,ほうしん,"objective, plan, policy",n2
包装,ほうそう,"packing, wrapping",n2
法則,ほうそく,"law, rule",n2
包帯,ほうたい,bandage,n2
膨大,ぼうだい,"enormous, extensive",n2
包丁,ほうちょう,"kitchen knife, carving knife",n2
方程式,ほうていしき,equation,n2
防犯,ぼうはん,prevention of crime,n2
方面,ほうめん,direction area,n2
坊や,ぼうや,boy,n2
放る,ほうる, let go,n2
朗らか,ほがらか,"bright, cheerful, melodious",n2
朗らか(な),ほがらかな,"cheerful, merry bright sky, day, etc, fine, clear",n2
牧場,ぼくじょう,farm livestock pasture land,n2
牧畜,ぼくちく,stockfarming,n2
保健,ほけん,"health preservation, hygiene, sanitation",n2
募集,ぼしゅう,recruitment,n2
干す,ほす," air,  dry,  drink up",n2
北極,ほっきょく,north pole,n2
坊っちゃん,ぼっちゃん,son of others,n2
解く,ほどく, unfasten,n2
掘る,ほる," dig,  excavate",n2
彫る,ほる," carve,  chisel",n2
盆,ぼん,festival of the dead tray,n2
盆地,ぼんち,"basin , between mountains",n2
本部,ほんぶ,headquarters,n2
本来,ほんらい,"essentially, naturally, by nature",n2
毎～,まい,every ,n2
枚数,まいすう,the number of flat things,n2
毎度,まいど,"each time, common servicesector greeting",n2
枕,まくら,pillow,n2
曲げる,まげる," bend,  crook,  lean",n2
摩擦,まさつ,friction rubbing chafe,n2
跨ぐ,またぐ," step over/across,  stride over/across,  cross  stretch over,  span,  bridge,  saddle,  straddle",n2
待合室,まちあいしつ,waiting room,n2
待ち合わせる,まちあわせる," rendezvous,  meet at a prearranged place and time",n2
街角,まちかど,street corner,n2
真っ暗,まっくら,total darkness,n2
真っ黒,まっくろ,pitch black,n2
真っ青,まっさお,"deep blue, ghastly pale",n2
真っ先,まっさき,"foremost, beginning",n2
真っ白,まっしろ,pure white,n2
祭る,まつる," deify,  enshrine",n2
窓口,まどぐち,ticket window,n2
真似る,まねる," mimic,  imitate",n2
間も無く,まもなく,"soon, in a short time",n2
間もなく,まもなく,"soon, shortly, before long, in a short time, in a little while",n2
稀,まれ,"rare, seldom",n2
回り道,まわりみち,detour,n2
満員,まんいん,"full house, no vacancy, sold out",n2
満点,まんてん,perfect score,n2
未～,み,not yet ,n2
見上げる,みあげる," look up at,  admire",n2
見送る,みおくる, see off  escort  let pass,n2
見下ろす,みおろす," overlook,  look down on something",n2
見掛け,みかけ,outward appearance,n2
三日月,みかづき,crescent moon,n2
岬,みさき,cape on coast,n2
惨めな,みじめな,"miserable, wretched, unhappy, sad, pitiable",n2
自ら,みずから,"for one's self, personally",n2
水着,みずぎ,bathing suit woman's,n2
店屋,みせや,"store, shop",n2
見出し,みだし,"heading, index",n2
道順,みちじゅん,"itinerary, route",n2
見詰める,みつめる," stare at,  gaze at",n2
見直す,みなおす," look over again,  review",n2
見慣れる,みなれる," become used  seeing,  be familiar with",n2
醜い,みにくい,ugly,n2
実る,みのる," bear fruit,  ripen",n2
身分,みぶん,"position, status",n2
見本,みほん,sample,n2
見舞う,みまう," ask after health,  visit",n2
未満,みまん,"less than, insufficient",n2
名字,みょうじ,"surname, family name",n2
診る,みる, examine medically,n2
民間,みんかん,"private, civilian",n2
民主～,みんしゅ,democratic,n2
民謡,みんよう,"folk song, popular song",n2
無限,むげん,infinite,n2
無地,むじ,plain,n2
蒸し暑い,むしあつい,"humid, sultry",n2
矛盾,むじゅん,"contradiction, inconsistency",n2
無数,むすう,"countless number, infinite number",n2
紫,むらさき,"purple color, violet",n2
群れ,むれ,"crowd, flock, herd",n2
姪,めい,niece,n2
名～,めい,famous ,n2
名作,めいさく,masterpiece,n2
名詞,めいし,noun,n2
名刺,めいし,business card,n2
名所,めいしょ,famous place,n2
迷信,めいしん,superstition,n2
命ずる,めいずる," command,  appoint",n2
名物,めいぶつ,"famous product, special product, speciality",n2
銘々,めいめい,"each, individual",n2
恵まれる,めぐまれる," be blessed with,  be rich in",n2
巡る,めぐる, go around,n2
目指す,めざす," aim at,  have an eye on",n2
目覚し,めざまし,alarmclock,n2
目下,めした,"at present, now",n2
目印,めじるし,"mark, sign, landmark",n2
目立つ,めだつ," be conspicuous,  stand out",n2
目安,めやす,"criterion, aim",n2
免税,めんぜい,tax exemption,n2
面積,めんせき,area,n2
面接,めんせつ,interview,n2
面倒臭い,めんどうくさい,"bother  do, tiresome",n2
儲かる,もうかる," be profitable,  yield a profit",n2
儲ける,もうける," earn,  have bear, beget a child",n2
申し訳ない,もうしわけない,"inexcusable, i am sorry",n2
木材,もくざい,"lumber, timber, wood",n2
目次,もくじ,table of contents,n2
潜る,もぐる," dive,  pass through  evade,  hide",n2
凭れる,もたれる," lean against,  lean on,  recline on",n2
餅,もち,sticky rice cake,n2
元々,もともと,"originally, by nature, from the start",n2
物置,ものおき,storage room,n2
物語る,ものがたる," tell,  indicate",n2
物差し,ものさし,"ruler, measure",n2
物凄い,ものすごい,"earthshattering, staggering,  a very great extent",n2
揉む,もむ," rub,  crumple up,  wrinkle",n2
催し,もよおし,"event, festivities, function",n2
盛る,もる, serve food  fill up  prescribe,n2
問答,もんどう,"questions and answers, dialogue",n2
喧しい,やかましい,"noisy, loud, clamorous, boisterous",n2
夜間,やかん,"at night, nighttime",n2
役者,やくしゃ,actor,n2
役所,やくしょ,"government office, public office",n2
役人,やくにん,government official,n2
薬品,やくひん,"medicines, chemicals",n2
役目,やくめ,"duty, business",n2
火傷,やけど,"burn, scald",n2
夜行,やこう,"night train, night travel",n2
矢印,やじるし,directing arrow,n2
薬局,やっきょく,"pharmacy, drugstore",n2
家主,やぬし,landlord,n2
破く,やぶく, tear,n2
軟らかい,やわらかい,"soft, tender, limp",n2
遊園地,ゆうえんち,amusement park,n2
夕刊,ゆうかん,evening paper,n2
友好,ゆうこう,friendship,n2
郵送,ゆうそう,mailing,n2
夕立,ゆうだち,sudden evening shower rain,n2
夕日,ゆうひ,"in the evening sun, setting sun",n2
悠々,ゆうゆう,"quiet, calm, leisurely",n2
有料,ゆうりょう,"admissionpaid, toll",n2
浴衣,ゆかた,"bathrobe, informal summer kimono",n2
行方,ゆくえ,one's whereabouts,n2
湯気,ゆげ,steam,n2
輸血,ゆけつ,blood transfusion,n2
輸送,ゆそう,"transport, transportation",n2
油断,ゆだん,"negligence, unpreparedness",n2
湯飲み,ゆのみ,teacup,n2
湯飲,ゆのみ,teacup,n2
緩い,ゆるい,"loose, lenient, slow",n2
溶岩,ようがん,lava,n2
容器,ようき,"container, receptacle, vessel, packaging",n2
用語,ようご,"term, terminology",n2
要旨,ようし,"gist, essentials, summary",n2
幼児,ようじ,"infant, baby, child",n2
容積,ようせき,"capacity, volume",n2
幼稚,ようち,"infancy, childish, infantile",n2
幼稚園,ようちえん,kindergarten,n2
用途,ようと,"use, usefulness",n2
洋品店,ようひんてん,clothes store,n2
養分,ようぶん,"nourishment, nutrient",n2
羊毛,ようもう,wool,n2
漸く,ようやく,"at last, finally, hardly",n2
要領,ようりょう,"gist, essentials, outline",n2
翌～,よく,next ,n2
欲張り,よくばり,greedy,n2
余計,よけい,"too much, unnecessary, abundance, surplus, excess, superfluity",n2
寄せる,よせる," come near,  let someone approach  bring near,  bring together,  collect,  gather  deliver opinion, news, etc,  send  a letter,  contribute,  donate  let someone drop by",n2
余所,よそ,"another place, somewhere else, strange parts",n2
四つ角,よつかど,"four corners, crossroads",n2
酔っ払い,よっぱらい,drunkard,n2
予備,よび,"preparation, spare",n2
呼び掛ける,よびかける," call out ,  accost,  address crowd,  appeal",n2
呼び出す,よびだす," summon,  call , phone",n2
蘇る,よみがえる," be resurrected,  be revived",n2
慶ぶ,よろこぶ," be delighted,  be glad",n2
来日,らいにち,"coming  japan, visit  japan",n2
落第,らくだい,"failure, dropping out of a class",n2
欄,らん,"column of text , as in a newspaper",n2
乱暴,らんぼう,"rude, violent, rough",n2
理科,りか,science,n2
利害,りがい,"advantages and disadvantages, interest",n2
略す,りゃくす, abbreviate,n2
流域,りゅういき,river basin,n2
寮,りょう,"hostel, dormitory",n2
両～,りょう,both ,n2
両側,りょうがわ,both sides,n2
漁師,りょうし,fisherman,n2
領事,りょうじ,consul,n2
領収,りょうしゅう,"receipt, voucher",n2
臨時,りんじ,"temporary, special, extraordinary",n2
留守番,るすばん,"caretaking, caretaker, housewatching",n2
例外,れいがい,exception,n2
零点,れいてん,"zero, no marks",n2
冷凍,れいとう,"freezing, cold storage, refrigeration",n2
列島,れっとう,chain of islands,n2
煉瓦,れんが,brick,n2
連合,れんごう,"union, alliance",n2
ローマ字,ローマじ,"romanization, roman letters alphabet",n2
録音,ろくおん,audio recording,n2
論ずる,ろんずる," argue,  discuss",n2
和～,わ,japanese style,n2
和英,わえい,japaneseenglish,n2
我～,わが,our ,n2
分かれる,わかれる," branch,  fork,  diverge  separate,  split,  divide  disperse,  scatter",n2
若々しい,わかわかしい,"youthful, young",n2
詫びる,わびる, apologize,n2
和服,わふく,japanese clothes,n2
割合に,わりあいに,"relatively, comparatively",n2
割算,わりざん,division math,n2
割と,わりと,"relatively, comparatively",n2
割引,わりびき,discount,n2
